soc_code,area_code,area_name,year,employment,annual_median_wage
151232,0600000,California,2025,74490.0,79570.0
151252,0600000,California,2025,284390.0,174410.0
151211,0600000,California,2025,59060.0,127720.0
152051,0600000,California,2025,39310.0,141590.0
151221,0600000,California,2025,8440.0,159100.0
152051,1200000,Florida,2025,10240.0,115820.0
151252,1200000,Florida,2025,87890.0,130980.0
151211,1200000,Florida,2025,35270.0,101900.0
151232,1200000,Florida,2025,51220.0,58740.0
151221,1200000,Florida,2025,1070.0,119810.0
151221,1700000,Illinois,2025,630.0,136540.0
151252,1700000,Illinois,2025,56310.0,132110.0
151232,1700000,Illinois,2025,26060.0,59860.0
151211,1700000,Illinois,2025,20610.0,101570.0
152051,1700000,Illinois,2025,10520.0,106560.0
151221,2500000,Massachusetts,2025,1760.0,170510.0
151252,2500000,Massachusetts,2025,48190.0,165210.0
151232,2500000,Massachusetts,2025,17570.0,75070.0
151211,2500000,Massachusetts,2025,22160.0,128240.0
152051,2500000,Massachusetts,2025,9420.0,131750.0
151221,3600000,New York,2025,1950.0,181990.0
151252,3600000,New York,2025,113510.0,166180.0
151232,3600000,New York,2025,39100.0,72560.0
152051,3600000,New York,2025,23970.0,130460.0
151211,3600000,New York,2025,24100.0,109610.0
151211,3700000,North Carolina,2025,20910.0,106850.0
151252,3700000,North Carolina,2025,58470.0,134710.0
152051,3700000,North Carolina,2025,11430.0,119090.0
151232,3700000,North Carolina,2025,23100.0,60120.0
151221,3700000,North Carolina,2025,600.0,128370.0
152051,4800000,Texas,2025,25860.0,122090.0
151211,4800000,Texas,2025,47990.0,107390.0
151252,4800000,Texas,2025,163880.0,132150.0
151232,4800000,Texas,2025,72030.0,59490.0
151221,4800000,Texas,2025,1960.0,121210.0
151211,5100000,Virginia,2025,23190.0,120840.0
151221,5100000,Virginia,2025,3590.0,157390.0
152051,5100000,Virginia,2025,8920.0,126430.0
151232,5100000,Virginia,2025,20910.0,65040.0
151252,5100000,Virginia,2025,88280.0,136460.0
151221,5300000,Washington,2025,2050.0,202400.0
152051,5300000,Washington,2025,9600.0,163350.0
151252,5300000,Washington,2025,107030.0,166540.0
151211,5300000,Washington,2025,24120.0,129410.0
151232,5300000,Washington,2025,21860.0,75220.0
