soc_code,area_code,area_name,year,employment,annual_median_wage
151221,0000000,United States,2025,37200.0,140300.0
152051,0000000,United States,2025,262440.0,120230.0
152041,0000000,United States,2025,29030.0,105650.0
192099,0000000,United States,2025,22300.0,122570.0
151242,0000000,United States,2025,69990.0,104620.0
252023,0000000,United States,2025,16870.0,65030.0
191029,0000000,United States,2025,55850.0,98920.0
151243,0000000,United States,2025,67140.0,139500.0
333021,0000000,United States,2025,114430.0,93790.0
119041,0000000,United States,2025,220260.0,171270.0
132054,0000000,United States,2025,63850.0,117330.0
131081,0000000,United States,2025,251040.0,82320.0
151254,0000000,United States,2025,70190.0,92650.0
172072,0000000,United States,2025,96900.0,130220.0
151251,0000000,United States,2025,92230.0,100390.0
111031,0000000,United States,2025,,
173025,0000000,United States,2025,12190.0,59920.0
152031,0000000,United States,2025,108510.0,88940.0
419031,0000000,United States,2025,51790.0,124900.0
172112,0000000,United States,2025,365740.0,102440.0
151252,0000000,United States,2025,1687890.0,135980.0
131111,0000000,United States,2025,898280.0,101860.0
151211,0000000,United States,2025,519530.0,105850.0
151299,0000000,United States,2025,435370.0,116580.0
152021,0000000,United States,2025,2030.0,126710.0
193022,0000000,United States,2025,8290.0,69460.0
192041,0000000,United States,2025,89250.0,82220.0
151232,0000000,United States,2025,717190.0,61860.0
151244,0000000,United States,2025,314340.0,99130.0
151241,0000000,United States,2025,179740.0,134050.0
151212,0000000,United States,2025,190650.0,129180.0
151255,0000000,United States,2025,113330.0,104000.0
119021,0000000,United States,2025,380360.0,114990.0
291222,0000000,United States,2025,11110.0,312400.0
111011,0000000,United States,2025,204350.0,213990.0
111021,0000000,United States,2025,3503020.0,105770.0
112011,0000000,United States,2025,21470.0,133660.0
112021,0000000,United States,2025,395240.0,166790.0
112022,0000000,United States,2025,637080.0,148270.0
112032,0000000,United States,2025,74850.0,146910.0
112033,0000000,United States,2025,38810.0,125470.0
113012,0000000,United States,2025,263960.0,114130.0
113013,0000000,United States,2025,156180.0,106660.0
113021,0000000,United States,2025,670570.0,175140.0
113031,0000000,United States,2025,841710.0,166570.0
113051,0000000,United States,2025,246250.0,126060.0
113061,0000000,United States,2025,84320.0,148080.0
113071,0000000,United States,2025,221180.0,107230.0
113111,0000000,United States,2025,22940.0,149230.0
113121,0000000,United States,2025,220660.0,149280.0
113131,0000000,United States,2025,48050.0,133000.0
119013,0000000,United States,2025,6500.0,89900.0
119031,0000000,United States,2025,73660.0,59300.0
119032,0000000,United States,2025,328330.0,105870.0
119033,0000000,United States,2025,180470.0,104590.0
119051,0000000,United States,2025,238430.0,69390.0
119071,0000000,United States,2025,5030.0,93220.0
119072,0000000,United States,2025,37980.0,79520.0
119081,0000000,United States,2025,42620.0,69250.0
119111,0000000,United States,2025,597080.0,123860.0
119121,0000000,United States,2025,108690.0,167220.0
119199,0000000,United States,2025,622190.0,141900.0
131031,0000000,United States,2025,324230.0,78000.0
131041,0000000,United States,2025,417070.0,80730.0
131071,0000000,United States,2025,912430.0,75940.0
131082,0000000,United States,2025,1066670.0,102320.0
131141,0000000,United States,2025,112380.0,78210.0
131151,0000000,United States,2025,458300.0,69280.0
131161,0000000,United States,2025,899580.0,78760.0
131199,0000000,United States,2025,1087090.0,83050.0
132011,0000000,United States,2025,1449500.0,83680.0
132051,0000000,United States,2025,361980.0,102740.0
132052,0000000,United States,2025,266800.0,105070.0
132072,0000000,United States,2025,274330.0,76690.0
151231,0000000,United States,2025,146190.0,76220.0
151253,0000000,United States,2025,186740.0,104300.0
171011,0000000,United States,2025,106770.0,99280.0
171021,0000000,United States,2025,14260.0,81390.0
171022,0000000,United States,2025,50830.0,75440.0
172011,0000000,United States,2025,67710.0,134960.0
172031,0000000,United States,2025,23480.0,109370.0
172051,0000000,United States,2025,367840.0,100840.0
172061,0000000,United States,2025,76660.0,161740.0
172071,0000000,United States,2025,198750.0,120630.0
172111,0000000,United States,2025,21450.0,115160.0
172141,0000000,United States,2025,296810.0,104110.0
172199,0000000,United States,2025,154070.0,122930.0
173011,0000000,United States,2025,103700.0,66150.0
173012,0000000,United States,2025,17920.0,76870.0
173023,0000000,United States,2025,95130.0,78190.0
173024,0000000,United States,2025,15520.0,73900.0
173026,0000000,United States,2025,75570.0,66120.0
173031,0000000,United States,2025,58010.0,54240.0
191021,0000000,United States,2025,33830.0,127410.0
191031,0000000,United States,2025,25950.0,73010.0
192012,0000000,United States,2025,20430.0,172250.0
192031,0000000,United States,2025,82770.0,91240.0
192042,0000000,United States,2025,23470.0,101920.0
192043,0000000,United States,2025,5850.0,96600.0
193051,0000000,United States,2025,44230.0,89320.0
194099,0000000,United States,2025,73910.0,62280.0
211012,0000000,United States,2025,353310.0,64330.0
231011,0000000,United States,2025,754500.0,159670.0
232011,0000000,United States,2025,392880.0,62890.0
254022,0000000,United States,2025,133790.0,68270.0
259031,0000000,United States,2025,227760.0,77440.0
271014,0000000,United States,2025,19970.0,102030.0
271024,0000000,United States,2025,197830.0,62960.0
272012,0000000,United States,2025,143120.0,90360.0
272041,0000000,United States,2025,12540.0,73710.0
273031,0000000,United States,2025,283380.0,74750.0
273042,0000000,United States,2025,45500.0,90390.0
273043,0000000,United States,2025,47940.0,76910.0
291141,0000000,United States,2025,3379720.0,97550.0
291229,0000000,United States,2025,342720.0,265930.0
292011,0000000,United States,2025,,
292072,0000000,United States,2025,194720.0,51140.0
299021,0000000,United States,2025,38100.0,68020.0
411011,0000000,United States,2025,1121800.0,48520.0
412031,0000000,United States,2025,3897860.0,35410.0
414012,0000000,United States,2025,1238190.0,72080.0
419022,0000000,United States,2025,193370.0,52830.0
431011,0000000,United States,2025,1436680.0,69500.0
433031,0000000,United States,2025,1373680.0,50670.0
434051,0000000,United States,2025,2595750.0,44770.0
435061,0000000,United States,2025,390160.0,59650.0
436011,0000000,United States,2025,459910.0,76590.0
436014,0000000,United States,2025,1706790.0,47540.0
439031,0000000,United States,2025,3350.0,55290.0
474011,0000000,United States,2025,146720.0,74690.0
519162,0000000,United States,2025,28500.0,68120.0
537011,0000000,United States,2025,22930.0,42420.0
537081,0000000,United States,2025,147240.0,49690.0
