soc_code,occupation_title,current_ai_intensity,current_ai_skill_share,previous_title,previous_ai_intensity,previous_ai_skill_share,intensity_change,skill_share_change
132054,Financial Risk Specialists,3.85,7.37,Financial Risk Specialists,2.47,5.88,1.38,1.49
151221,Computer and Information Research Scientists,9.0,13.41,Computer and Information Research Scientists,8.08,12.0,0.92,1.41
172112,Industrial Engineers,2.96,9.44,Industrial Engineers,2.59,8.9,0.37,0.54
152051,Data Scientists,6.88,16.79,Data Scientists,6.58,16.04,0.3,0.75
173025,Environmental Engineering Technologists and Technicians,3.57,8.7,Environmental Engineering Technologists and Technicians,3.32,8.22,0.25,0.48
151252,Software Developers,2.81,5.12,Software Developers,2.56,4.69,0.25,0.43
333021,Detectives and Criminal Investigators,3.77,12.26,Detectives and Criminal Investigators,3.64,11.82,0.13,0.44
173026,Industrial Engineering Technologists and Technicians,1.49,3.7,Industrial Engineering Technologists and Technicians,1.39,3.48,0.1,0.22
172031,Bioengineers and Biomedical Engineers,2.12,5.22,Bioengineers and Biomedical Engineers,2.05,5.04,0.07,0.18
132051,Financial and Investment Analysts,2.57,6.11,Financial and Investment Analysts,2.56,6.08,0.01,0.03
111011,Chief Executives,0.0,5.36,Chief Executives,0.0,5.26,0.0,0.1
111021,General and Operations Managers,0.0,4.26,General and Operations Managers,0.0,4.11,0.0,0.15
111031,Legislators,0.0,6.25,Legislators,0.0,6.25,0.0,0.0
112011,Advertising and Promotions Managers,0.0,5.56,Advertising and Promotions Managers,0.0,5.48,0.0,0.08
112021,Marketing Managers,0.0,5.19,Marketing Managers,0.0,5.23,0.0,-0.04
112022,Sales Managers,0.0,3.88,Sales Managers,0.0,3.88,0.0,0.0
112032,Public Relations Managers,0.0,0.0,Public Relations Managers,0.0,0.0,0.0,0.0
112033,Fundraising Managers,0.0,0.0,Fundraising Managers,0.0,0.0,0.0,0.0
113012,Administrative Services Managers,0.0,1.79,Administrative Services Managers,0.0,1.79,0.0,0.0
113013,Facilities Managers,0.0,0.0,Facilities Managers,0.0,0.0,0.0,0.0
113021,Computer and Information Systems Managers,0.0,5.08,Computer and Information Systems Managers,0.0,5.08,0.0,0.0
113031,Financial Managers,0.0,10.75,Financial Managers,0.0,10.42,0.0,0.33
113051,Industrial Production Managers,0.0,5.61,Industrial Production Managers,0.0,5.41,0.0,0.2
113061,Purchasing Managers,0.0,0.0,Purchasing Managers,0.0,0.0,0.0,0.0
113071,"Transportation, Storage, and Distribution Managers",0.0,2.8,"Transportation, Storage, and Distribution Managers",0.0,2.7,0.0,0.1
